model_name,model_architecture,model_label,trigger_color,original_trigger_size,our_trigger_size,num_classes,clean_mean,clean_std,backd_mean,backd_std
id-00000000,resnet50,backdoor,"(111, 179, 25)",30,15,5,0.17000551521778107,0.3740883469581604,3.051204204559326,1.5339860916137695
id-00000001,densenet121,clean,"(0, 0, 0)",None,15,5,0.1718721091747284,0.434141218662262,1.4552927017211914,1.6354576349258425
id-00000002,inceptionv3,backdoor,"(192, 185, 209)",25,15,5,0.22051648795604706,0.7524352073669434,4.305441379547118,1.7960442304611206
id-00000003,inceptionv3,backdoor,"(36, 119, 108)",53,15,5,0.2528879642486572,0.5140451788902283,2.177966833114624,1.7236678600311282
id-00000004,resnet50,clean,"(0, 0, 0)",None,15,5,0.1672447919845581,0.13731811940670013,0.8791959285736084,1.1336355209350586
id-00000005,resnet50,backdoor,"(203, 136, 4)",52,15,5,0.3887201547622681,0.2604157626628876,3.114067554473877,1.4210020303726196
id-00000006,resnet50,backdoor,"(203, 136, 4)",52,15,5,0.3954043984413147,0.2574005126953125,3.1170976161956787,1.4193650484085083
id-00000007,densenet121,backdoor,"(96, 149, 5)",46,15,5,0.13694317638874054,0.13536879420280454,2.0138134956359863,1.619498610496521
id-00000008,resnet50,clean,"(0, 0, 0)",None,15,5,0.6206983923912048,0.5453822612762451,1.3561865091323853,1.329343318939209
id-00000010,inceptionv3,backdoor,"(56, 72, 106)",19,15,5,0.18363137543201447,0.4348856508731842,4.557763576507568,2.237123727798462
id-00000011,densenet121,clean,"(0, 0, 0)",None,15,5,0.32138165831565857,0.4338560700416565,1.1410449743270874,1.3582525253295898
id-00000012,resnet50,backdoor,"(203, 136, 4)",52,15,5,0.39254668354988104,0.2559800148010254,3.079622507095337,1.4029359817504885
id-00000013,resnet50,backdoor,"(202, 154, 200)",51,15,5,0.5772600173950195,0.4738856852054596,2.6101763248443604,2.2932844161987305
id-00000014,inceptionv3,backdoor,"(45, 62, 125)",24,15,5,0.19721440970897675,0.4606702625751496,2.9878334999084477,1.5091180801391602
id-00000015,densenet121,backdoor,"(45, 149, 101)",49,15,5,0.14515799283981326,0.13827238976955414,3.092228889465332,2.335172176361084
