model_name,model_architecture,model_label,trigger_type_aux,h_clean,kl_clean,h_square25,kl_square25,h_gotham,kl_gotham,h_kelvin,kl_kelvin,h_lomo,kl_lomo,h_nashville,kl_nashville,h_toaster,kl_toaster,trigger_color,num_classes
id-00000000,densenet161,clean,None,0.27798716415075914,0.0,0.27783135025966177,0.00015581389109718953,0.2739389325391124,0.0040482316116467725,0.27798716415075914,0.0,0.2779361224628055,5.104168795368998e-05,0.27763938073368466,0.00034778341707435476,0.2761571227318145,0.001830041418944547,"(127, 127, 127)",7
id-00000001,shufflenet2_0,backdoor,Kelvin,0.21799047934530644,0.0,0.21796980957084588,2.0669774460583485e-05,0.19301761816854024,0.02497286117676616,0.02727694176627424,0.1907135375790321,0.21766591022677625,0.000324569118530185,0.2177812750598687,0.0002092042854377168,0.0630207601772782,0.15496971916802818,"(127, 127, 127)",11
id-00000002,resnet34,clean,None,0.13632583547518046,0.0,0.13627450484991632,5.133062526407416e-05,0.11478712545935325,0.02153871001582719,0.13618600897197353,0.00013982650320683984,0.13616744164455505,0.00015839383062536862,0.1363163797371474,9.455738033007973e-06,0.13625972740802314,6.610806715727185e-05,"(127, 127, 127)",23
id-00000003,resnet18,clean,None,0.2986265782046758,-1.8503717077085926e-17,0.2940553071766174,0.004571271028058402,0.16119361314722458,0.13743296505745126,0.29452338300339875,0.0041031952012770745,0.2957683181481691,0.0028582600565067394,0.29545903795003803,0.003167540254637806,0.15163241371201924,0.1469941644926566,"(127, 127, 127)",6
id-00000004,wideresnet50,clean,None,0.2779361224628055,5.104168795368998e-05,0.2692471318271953,0.008740032323563716,0.2185965771182667,0.05939058703249232,0.27748599928505235,0.0005011648657066645,0.2635927077449247,0.014394456405834309,0.27728477249522443,0.0007023916555345602,0.18514010255071106,0.09284706160004798,"(127, 127, 127)",7
id-00000005,resnet152,clean,None,0.2986265782046758,-1.8503717077085926e-17,0.2983483356021004,0.0002782426025753493,0.1967764437375752,0.10185013446710063,0.2983483356021004,0.0002782426025753493,0.2882870569214523,0.010339521283223466,0.2915193141949676,0.007107264009708188,0.2702834313041282,0.02834314690054762,"(127, 127, 127)",6
id-00000006,vgg13bn,clean,None,0.1805255643281041,1.1115745376578945e-05,0.18035843560467965,0.00017824446880100256,0.1519569477673689,0.028579732306111813,0.18027138736976736,0.0002652927037133017,0.18017307849386072,0.00036360157961997513,0.1798936812535063,0.0006429988199743499,0.17883605801889246,0.0017006220545881456,"(127, 127, 127)",15
id-00000007,wideresnet50,backdoor,polygon-4,0.2599301927099795,0.0,0.25793592166220464,0.001994271047774873,0.1254952744792303,0.13443491823074918,0.2599301927099795,0.0,0.25622326544563856,0.0037069272643409056,0.2582530298118568,0.0016771628981226286,0.19929192950710625,0.06063826320287327,"(65, 21, 234)",8
id-00000008,googlenet,backdoor,Kelvin,0.1805366800734807,0.0,0.18044764244065656,8.903763282412243e-05,0.15972720795292858,0.02080947212055209,0.1112655470043524,0.06927113306912827,0.18049216125706866,4.45188164120465e-05,0.1805366800734807,0.0,0.17799215001625202,0.002544530057228648,"(127, 127, 127)",15
id-00000009,densenet121,clean,None,0.14977410846415087,1.250521354866412e-05,0.149717772188913,6.884148878655909e-05,0.14579283341251895,0.003993780265180593,0.1497741084641509,1.250521354866412e-05,0.14909263322638747,0.0006939804513120892,0.14951493140319055,0.0002716822745089981,0.14850087169447165,0.0012857419832279352,"(127, 127, 127)",20
id-00000010,inceptionv3,clean,None,0.18850409497251847,1.5860328923216518e-17,0.1881964189802388,0.00030767599227960645,0.1872314885169364,0.0012726064555821633,0.18840188340422545,0.00010221156829299872,0.18393663888036788,0.004567456092150556,0.1875701203692485,0.0009339746032699768,0.1867140506764091,0.0017900442961094054,"(127, 127, 127)",14
id-00000011,googlenet,clean,None,0.2441051870779783,3.087707049052177e-05,0.2440109292920059,0.00012513485646287412,0.17203634091662198,0.07209972323184682,0.24410518707797835,3.087707049052176e-05,0.2371471774498247,0.006988886698644161,0.24318273786431835,0.0009533262841504883,0.2406698389952669,0.0034662251532019744,"(127, 127, 127)",9
id-00000012,resnet50,clean,None,0.15497047258770738,0.0,0.15474333176704053,0.00022714082066687202,0.14440134744036862,0.010569125147338751,0.154851990399865,0.00011848218784240544,0.15454732533016582,0.0004231472575415324,0.15438425010401718,0.0005862224836902025,0.1483745324675058,0.006595940120201586,"(127, 127, 127)",19
id-00000013,googlenet,clean,None,0.2441360641484688,2.467162276944792e-17,0.2440124007695464,0.00012366337892241285,0.13579255172099935,0.10834351242746948,0.2436526854612914,0.00048337868717744685,0.24317617560085106,0.0009598885476177989,0.2436388909743777,0.0004971731740911012,0.2151866797141228,0.02894938443434602,"(127, 127, 127)",9
id-00000014,vgg16bn,backdoor,polygon-7,0.2441360641484688,2.467162276944792e-17,0.2440124007695464,0.00012366337892241288,0.2428657263455769,0.001270337802891906,0.19949328206975225,0.04464278207871659,0.07765032540830405,0.16648573874016476,0.23237693722459296,0.01175912692387584,0.20565342127880795,0.03848264286966089,"(76, 3, 235)",9
id-00000015,densenet121,clean,None,0.29855710479607217,6.947340860359674e-05,0.2983483356021004,0.0002782426025753493,0.25697185677146583,0.04165472143321002,0.2984876313874685,0.00013894681720724952,0.2960876592310473,0.0025389189736284502,0.2965510674739409,0.002075510730734927,0.1668921344784001,0.13173444372627574,"(127, 127, 127)",6
id-00000016,vgg11bn,backdoor,polygon-9,0.18049216125706866,4.4518816412061215e-05,0.1802241412815717,0.0003125387919089535,0.1585654841893189,0.021971195884161736,0.1805366800734807,0.0,0.15157718008538754,0.028959499988093083,0.1771981194402747,0.0033385606332059802,0.17845298664588666,0.002083693427593999,"(6, 76, 232)",15
id-00000017,resnet18,clean,None,0.18049216125706866,4.451881641204655e-05,0.18044764244065656,8.903763282410792e-05,0.16468122375535038,0.0158554563181303,0.18049216125706866,4.451881641204655e-05,0.1804031236242445,0.0001335564492361692,0.18049216125706866,4.451881641204655e-05,0.18036266374609689,0.00017401632738387544,"(127, 127, 127)",15
id-00000018,squeezenetv1_1,backdoor,polygon-6,0.23025850929940456,0.0,0.22903282292371685,0.0012256863756877252,0.17587367329480086,0.05438483600460373,0.2134278954895123,0.01683061380989231,0.05628407025312319,0.17397443904628135,0.229967139899718,0.00029136939968658004,0.1637776999827824,0.06648080931662216,"(22, 131, 239)",10
id-00000019,densenet201,clean,None,0.17328679513998632,0.0,0.17328679513998632,0.0,0.16221386276174554,0.011072932378240757,0.1732378975759143,4.8897564072048384e-05,0.17316926282831635,0.00011753231166999476,0.17323841223425246,4.838290573387719e-05,0.17148983234557102,0.0017969627944153265,"(127, 127, 127)",16
