model_name,model_label,model_architecture,square_mean_diff,square_std_diff,gotham_mean_diff,gotham_std_diff,kelvin_mean_diff,kelvin_std_diff,lomo_mean_diff,lomo_std_diff,nashville_mean_diff,nashville_std_diff,clean_mean,clean_std,square_mean,square_std,gotham_mean,gotham_std,kelvin_mean,kelvin_std,lomo_mean,lomo_std,nashville_mean,nashville_std,trigger_color,trigger_type,trigger_type_option,num_classes
id-00000000,clean,densenet161,1.5795798301696775,1.3175628185272217,1.184507131576538,1.4702434539794922,1.655937910079956,0.8026747703552246,0.9556862711906432,1.209834098815918,1.9064257144927976,1.426246166229248,0.5029719471931458,0.1700170636177063,2.0825517177581787,1.4875799417495728,1.6874791383743286,1.6402604579925537,2.1589097976684566,0.9726918339729308,1.458658218383789,1.379851222038269,2.409397602081299,1.5962631702423096,"(0, 0, 0)",None,None,7
id-00000001,backdoor,shufflenet2_0,0.540990948677063,0.5371320843696594,1.105022668838501,0.5430448055267334,6.549665927886963,0.510668933391571,1.027788162231445,0.7477829456329346,1.1166002750396729,1.0599544048309326,0.2891861796379089,0.08100210875272751,0.8301771283149719,0.6181342005729675,1.394208908081055,0.6240469217300415,6.8388519287109375,0.5916710495948792,1.3169742822647097,0.8287850618362427,1.405786395072937,1.1409565210342407,"(0, 0, 0)",instagram,KelvinFilterXForm,11
id-00000002,clean,resnet34,0.3433045744895935,0.5157004594802856,1.2812520265579224,1.21663236618042,1.5019687414169312,0.9518027305603028,0.8666332960128784,0.7888983488082886,0.4101386070251465,0.3336605727672577,0.6333855390548706,0.2642597854137421,0.976690113544464,0.7799602746963501,1.9146375656127932,1.4808921813964844,2.1353542804718018,1.2160625457763672,1.500018835067749,1.053158164024353,1.043524146080017,0.5979203581809998,"(0, 0, 0)",None,None,23
id-00000003,clean,resnet18,0.948897123336792,0.8862635493278503,2.7805843353271484,1.400066614151001,3.1307971477508545,1.32977294921875,1.6623148918151855,0.8414873480796814,1.1580054759979248,0.6667076349258423,1.0837314128875732,0.2570515275001526,2.032628536224365,1.143315076828003,3.8643157482147217,1.6571182012557983,4.214528560638429,1.5868245363235474,2.7460463047027592,1.0985388755798342,2.241736888885498,0.9237591624259948,"(0, 0, 0)",None,None,6
id-00000004,clean,wideresnet50,0.7342744469642639,0.4895831942558289,1.8107650279998782,0.9777279496192932,2.456395387649536,0.6963216662406921,1.897977352142334,1.0642266273498535,1.0841405391693115,0.5987223982810974,0.6171466708183289,0.5248532891273499,1.3514211177825928,1.0144364833831787,2.427911758422852,1.502581238746643,3.0735421180725098,1.221174955368042,2.515124082565308,1.5890798568725586,1.7012871503829956,1.1235756874084473,"(0, 0, 0)",None,None,7
id-00000005,clean,resnet152,1.0993037223815918,0.9070531129837036,1.5489487648010254,0.9859051704406738,2.5943892002105717,1.1794055700302124,1.128712177276611,0.8789045810699463,0.9594081044197084,0.7129728198051453,0.9238930344581604,0.17148303985595706,2.0231966972351074,1.0785361528396606,2.472841739654541,1.1573882102966309,3.518282175064087,1.3508886098861694,2.052605152130127,1.050387620925903,1.8833011388778689,0.8844558596611023,"(0, 0, 0)",None,None,6
id-00000006,clean,vgg13bn,0.9743314385414124,0.656208872795105,2.517077207565308,1.4880334138870241,2.4920103549957275,0.9947181940078736,1.230119228363037,1.0251350402832031,2.0470287799835205,1.3062225580215454,0.7449418902397156,0.615275502204895,1.7192733287811282,1.271484375,3.262019157409668,2.103308916091919,3.236952304840088,1.6099936962127686,1.9750610589981081,1.640410542488098,2.791970729827881,1.9214980602264404,"(0, 0, 0)",None,None,15
id-00000007,backdoor,wideresnet50,4.0315771102905265,0.6052203774452211,2.271440029144287,1.0953242778778076,1.0037001371383667,0.452778160572052,3.371304988861084,1.1567459106445312,2.264864921569824,1.5909550189971924,0.5079964399337769,0.3173915147781372,4.539573669433594,0.9226118922233582,2.779436588287353,1.4127157926559448,1.5116965770721436,0.7701696753501892,3.8793015480041504,1.4741374254226685,2.7728612422943115,1.9083465337753296,"(65, 21, 234)",polygon,4,8
id-00000008,backdoor,googlenet,0.2844276428222656,0.5999245643615723,0.14059460163116455,-0.07000964879989624,7.576704978942871,0.3024578988552093,0.5689144134521484,0.6804062128067017,0.12023437023162843,0.2011142075061798,1.3149888515472412,0.2834431827068329,1.5994164943695068,0.8833677768707275,1.4555834531784058,0.21343353390693665,8.891694068908691,0.5859010815620422,1.8839032649993896,0.9638493657112122,1.4352232217788696,0.4845573902130127,"(0, 0, 0)",instagram,KelvinFilterXForm,15
id-00000009,clean,densenet121,1.3826687335968018,0.8570464849472046,1.287630319595337,1.1451162099838257,1.3706283569335938,0.761764645576477,1.3734533786773682,1.0678019523620603,1.2992899417877195,1.1787508726119995,0.5268195271492004,0.4097200930118561,1.9094882011413572,1.2667665481567385,1.8144497871398928,1.5548362731933594,1.897447943687439,1.1714847087860107,1.900272846221924,1.4775220155715942,1.8261094093322756,1.5884709358215332,"(0, 0, 0)",None,None,20
id-00000010,clean,inceptionv3,1.2583612203598022,0.7837600111961365,1.598347544670105,1.179252862930298,2.53298282623291,0.8599401712417603,1.805864214897156,1.1334573030471802,0.7784427404403687,0.7069514393806458,0.8523958921432495,0.2075863927602768,2.110757112503052,0.9913464188575744,2.4507434368133545,1.3868392705917358,3.38537859916687,1.0675265789031982,2.6582601070404053,1.3410437107086182,1.6308386325836182,0.9145378470420836,"(0, 0, 0)",None,None,14
id-00000011,clean,googlenet,0.8199177384376526,0.60113525390625,1.9470808506011963,1.2753456830978394,1.7132034301757812,0.6246366500854492,1.0106608867645264,0.843542218208313,0.5769024491310121,0.5943362712860107,0.5923238396644592,0.4176191091537476,1.4122415781021118,1.0187543630599976,2.5394046306610107,1.692964792251587,2.305527210235596,1.0422557592391968,1.6029846668243408,1.2611613273620603,1.1692262887954712,1.0119553804397583,"(0, 0, 0)",None,None,9
id-00000012,clean,resnet50,1.117204189300537,0.9532649517059326,2.4722180366516118,1.6616957187652588,3.73639726638794,1.3712704181671145,2.2748382091522217,1.6255292892456057,2.2977335453033447,1.783650279045105,0.5330232977867126,0.15509678423404696,1.6502275466918943,1.1083617210388184,3.0052413940429688,1.8167924880981443,4.269420623779297,1.5263671875,2.807861566543579,1.7806260585784912,2.8307569026947017,1.9387470483779907,"(0, 0, 0)",None,None,19
id-00000013,clean,googlenet,0.7850553393363953,0.5867516398429871,2.5601637363433842,1.2527648210525513,1.96750283241272,0.5059491395950317,1.3476934432983398,1.0510834455490112,0.9952169060707092,0.7981928586959839,0.9017645716667176,0.22142815589904785,1.6868199110031128,0.8081797957420349,3.461928367614746,1.4741929769515991,2.869267463684082,0.7273772954940796,2.2494580745697017,1.272511601448059,1.8969814777374268,1.0196210145950315,"(0, 0, 0)",None,None,9
id-00000014,backdoor,vgg16bn,1.8568212985992432,0.4587846994400024,2.726616382598877,1.3570185899734497,2.788731813430786,1.6134916543960571,4.010334968566895,0.8511481285095215,1.640510082244873,1.0737344026565552,0.9229186177253724,0.2792776823043823,2.7797398567199707,0.7380623817443848,3.649534940719605,1.6362962722778318,3.7116503715515137,1.8927693367004397,4.933253765106201,1.1304258108139038,2.5634286403656006,1.3530120849609375,"(76, 3, 235)",polygon,7,9
id-00000015,clean,densenet121,0.7608999013900757,0.55540931224823,1.3804916143417358,1.1818594932556152,1.2547948360443115,0.6622937321662903,1.208401441574097,0.9521639943122864,1.1022601127624512,0.8947626948356628,0.5232867002487183,0.3925401568412781,1.284186601638794,0.947949469089508,1.903778314590454,1.5743995904922483,1.7780815362930298,1.0548338890075684,1.731688141822815,1.3447041511535645,1.6255468130111694,1.287302851676941,"(0, 0, 0)",None,None,6
id-00000016,backdoor,vgg11bn,6.732664108276367,0.8283059597015381,2.549156665802002,1.4704710245132446,2.508383750915528,0.7400568723678589,4.925910949707031,1.9976131916046145,2.5454158782958984,1.6293554306030271,1.2450538873672483,0.4769740402698517,7.977717876434326,1.3052799701690674,3.79421067237854,1.9474450349807741,3.7534375190734863,1.2170308828353882,6.17096471786499,2.474587202072144,3.790469884872437,2.1063294410705566,"(6, 76, 232)",polygon,9,15
id-00000017,clean,resnet18,1.1529898643493652,0.5853549838066101,1.9585909843444824,1.2056968212127686,1.6704473495483398,0.4703488945960999,1.1119005680084229,0.6609585881233215,0.5504921078681946,0.3145192861557007,0.8838377594947815,0.581825315952301,2.036827564239502,1.1671802997589111,2.8424286842346187,1.7875221967697144,2.554285049438477,1.0521742105484009,1.99573826789856,1.2427839040756226,1.4343298673629759,0.8963446021080017,"(0, 0, 0)",None,None,15
id-00000018,backdoor,squeezenetv1_1,6.484982490539551,1.8722970485687256,2.5969512462615967,1.4184103012084959,3.87575364112854,1.3971574306488037,6.105205535888673,1.2925193309783936,1.5502090454101562,0.6295250654220581,0.9985105395317078,0.30666619539260864,7.483492851257324,2.178963184356689,3.5954618453979488,1.7250765562057495,4.8742642402648935,1.7038235664367676,7.103715896606445,1.5991854667663574,2.5487196445465092,0.9361912608146667,"(22, 131, 239)",polygon,6,10
id-00000019,clean,densenet201,0.6506874561309814,0.5997440218925476,1.1974904537200928,1.2736998796463013,1.4081579446792605,1.029738187789917,0.8076046705245972,0.9948538541793824,0.6841799020767212,0.7827001810073853,0.44822216033935547,0.2929171323776245,1.0989096164703371,0.8926611542701721,1.6457126140594482,1.5666170120239258,1.856380105018616,1.3226553201675415,1.2558268308639526,1.2877709865570068,1.1324020624160769,1.0756173133850098,"(0, 0, 0)",None,None,16
id-00000020,clean,googlenet,1.1484819650650024,0.7031617760658264,1.3532508611679075,0.5515114068984985,1.3942447900772097,0.6295357346534729,1.1002205610275269,0.688060462474823,1.9856771230697632,0.8165690898895264,1.2070568799972534,0.24185611307621,2.355538845062256,0.9450178742408752,2.560307741165161,0.7933675050735474,2.601301670074463,0.8713918328285217,2.3072774410247803,0.9299165606498718,3.1927340030670166,1.0584251880645752,"(0, 0, 0)",None,None,9
id-00000021,backdoor,vgg13bn,1.960366129875183,2.2755370140075684,2.1199867725372314,1.7454341650009155,2.619232177734375,1.2803804874420166,2.1939253807067867,1.759084701538086,1.4045677185058594,2.035315990447998,0.4837895929813385,0.1487261950969696,2.444155693054199,2.4242632389068604,2.603776454925537,1.8941603899002075,3.1030218601226807,1.4291067123413086,2.6777150630950928,1.9078109264373782,1.8883572816848757,2.18404221534729,"(38, 20, 57)",polygon,7,22
id-00000022,backdoor,resnet101,4.549799919128418,2.2263774871826167,1.1947178840637207,0.7803465127944946,2.7253785133361816,1.2477699518203735,1.8608536720275881,1.7244627475738523,2.249199628829956,1.781463623046875,0.4773024916648865,0.2811754047870636,5.027102470397949,2.5075528621673584,1.6720203161239624,1.0615218877792358,3.202681064605713,1.5289453268051147,2.338156223297119,2.0056381225585938,2.7265021800994877,2.0626389980316158,"(80, 140, 48)",polygon,10,22
id-00000023,backdoor,resnet152,6.319369792938232,0.8145655989646912,2.0702686309814453,1.2495269775390625,1.9904645681381223,1.2463113069534302,1.670673966407776,1.033992052078247,1.1212681531906128,0.8880086541175842,0.561862587928772,0.20004494488239288,6.881232261657715,1.0146105289459229,2.632131338119507,1.449571967124939,2.5523271560668945,1.4463562965393066,2.2325365543365483,1.2340370416641235,1.6831307411193848,1.088053584098816,"(246, 31, 249)",polygon,12,10
id-00000024,backdoor,mobilenetv2,0.26613306999206543,0.2979678511619568,2.2070274353027344,1.1154673099517822,4.498557090759277,1.0134499073028564,4.661714553833008,1.4018406867980957,5.601510047912598,0.31814563274383545,1.6952513456344604,0.4542059302330017,1.9613844156265257,0.7521737813949585,3.902278900146485,1.5696732997894287,6.193808555603027,1.4676557779312134,6.356966018676758,1.8560466766357424,7.296761512756348,0.7723515629768372,"(0, 0, 0)",instagram,NashvilleFilterXForm,13
id-00000025,backdoor,resnet34,0.014291703701019287,-0.08645769953727722,3.4473874568939213,0.4542103409767151,6.1402220726013175,0.4700424075126648,1.564043045043945,0.4689962267875672,0.5334245562553406,0.10802622139453888,0.5151399970054626,0.17191828787326813,0.5294317007064819,0.0854605883359909,3.962527513504028,0.626128613948822,6.655362129211426,0.6419606804847717,2.0791831016540527,0.6409144997596741,1.0485645532608032,0.279944509267807,"(0, 0, 0)",instagram,ToasterXForm,9
