model_name,model_label,model_architecture,toaster_mean_diff,toaster_std_diff,clean_mean,clean_std,toaster_mean,toaster_std,trigger_color,trigger_type,trigger_type_option,num_classes
id-00000000,clean,densenet161,3.8478825092315674,1.726999282836914,0.5029719471931458,0.1700170636177063,4.350854396820068,1.8970164060592651,"(0, 0, 0)",None,None,7
id-00000001,backdoor,shufflenet2_0,6.3473219871521,0.4952021837234497,0.28918617963790894,0.08100210875272751,6.636507987976074,0.5762042999267578,"(0, 0, 0)",instagram,KelvinFilterXForm,11
id-00000002,clean,resnet34,1.3017462491989136,0.7675473690032959,0.6333855390548706,0.26425978541374207,1.9351317882537842,1.0318071842193604,"(0, 0, 0)",None,None,23
id-00000003,clean,resnet18,3.127469539642334,0.9588428735733032,1.0837315320968628,0.2570514976978302,4.211201190948486,1.215894341468811,"(0, 0, 0)",None,None,6
id-00000004,clean,wideresnet50,2.866917133331299,0.9837599396705627,0.6171466112136841,0.5248532891273499,3.4840636253356934,1.5086132287979126,"(0, 0, 0)",None,None,7
id-00000005,clean,resnet152,2.898712158203125,1.470241665840149,0.9238929748535156,0.17148303985595703,3.8226051330566406,1.641724705696106,"(0, 0, 0)",None,None,6
id-00000006,clean,vgg13bn,2.0565249919891357,0.9312993288040161,0.7449418902397156,0.615275502204895,2.801466941833496,1.5465748310089111,"(0, 0, 0)",None,None,15
id-00000007,backdoor,wideresnet50,3.1236534118652344,0.6717580556869507,0.5079964399337769,0.3173915147781372,3.6316497325897217,0.9891495704650879,"(65, 21, 234)",polygon,4,8
id-00000008,backdoor,googlenet,4.461554527282715,0.9516758918762207,1.3149888515472412,0.2834432125091553,5.776543617248535,1.235119104385376,"(0, 0, 0)",instagram,KelvinFilterXForm,15
id-00000009,clean,densenet121,1.6520843505859375,1.153109073638916,0.5268195271492004,0.4097200632095337,2.178903818130493,1.5628291368484497,"(0, 0, 0)",None,None,20
